Author,Comment,Likes,Replies,Date
"@Eyetalkwithdrbuddhofficial3912","What&#39;s the main reason for Going abroad in that way?I have been to UK  I didn&#39;t see any extra ordinary things over there.Please do not waste your life in that way.",0,0,12/3/2022
"@chhabirana548","Gretar nepal🇳🇵🇳🇵🇳🇵",1,0,12/3/2022
"@techhelper4966","Desh gatilo vako vaye... Kina janma thailo chodnu parthyo ra!!",0,0,11/19/2022
"@aakashthalanglimbu439","Hamro desh ko halat ramro vako vaya yesto hudaina thiyo, desh bechi sako neta haru la",0,0,11/18/2022
"@dipaksaud4028","Good information",0,0,11/16/2022
"@mobilelegendbangbangmontage","But now Croatia is also schengen",1,0,11/15/2022
"@kumarpaudel8042","Came to chat man! In insta",0,0,11/15/2022
"@JMMADARA-07","You explain as like swagaat gyawali 😅❤️👏👏",0,0,11/11/2022
"@sanjaysunar7307","Kehi dikkat huna",0,0,11/11/2022
"@sumitmagar444","I felt the title used in this video really a poor choice of words. &quot;How to reach, illegally and risking your life &quot; are you trying to give a tutorial?",1,2,11/7/2022
"@brandonbrann9679","People who choose that way get killed by Mexican drug cartels like los Zetas &amp; Sinaloa cartels ..Women get fucked so bad &amp; trafficked in this route not even US or any Europe countries Let them now in any of rehabilitation centres for immigrants...It&#39;s better to go gulf than US this ways...",0,0,11/6/2022
"@pushpashrestha127","America ma xiresi pugyo. You will easily get a job bina documents",0,0,11/6/2022
"@pushpashrestha127","Go to portugal or malta. Get a TR. then visitmexico and jump the trump wall",1,0,11/6/2022
"@ashishbiswa2102","Your hardwork deserve more subscriber bro..all the best",0,0,11/4/2022
"@KoSmik-D","One of my close friend went to USA through same route. He said the actual things you just said.",2,0,11/4/2022
"@Avee_kr","Rahar le gako ho bro tya <br>Bhadyata t khadi ho",0,0,11/4/2022
"@advocatesuman21","😂",0,0,11/4/2022
"@Coolboyusa","Yo yatra ma 100% loss nai cha .",0,0,11/3/2022
"@Namsu8","<a href=""UCkszU2WH9gy1mb0dV-11UJg/JAJ1XpGpJYnW8wTupZu4Cw""></a>salute for ur hard work brotheer",0,0,11/3/2022
"@jyotish_bulletin","Yeti mehenat Nepal Mai garya kei hunthyo ki",0,0,11/3/2022
"@shraddhaadhikari7087","Got goosebumps. Hats off to your research. Keep growing…",2,0,11/2/2022
"@smrititiwari2327","Title inappropriate vaexa  subject matter vane dherai informational xa😊😊😊",0,0,11/2/2022
"@RabiThing7","You are the best😊",0,0,11/2/2022
"@sushantprajapati1704","Hello Bro, Not related to this topic, could you also do a video on why Yatri ko bikes are not getting license? I dont understand what is the issue in this. <br>Ki ta company nai na khulna dinu parne thyo, ahile aayera, tetro bike bechna dine, tara license plate number lina lai kei process nai  chaina.<br>K ho k ho,",0,0,11/2/2022
"@prajolkc","aafno desh jasto sorga khii xaenw aafnai desh ma kam garum gare j pani hunxa",0,0,11/2/2022
"@Blacksheep-Ba-Ba","99% of you do not qualify.. in fact once they have you- they will get your info- pic- finger prints and Deport you immediately...WITHOUT EXCEPTION. You won&#39;t be able to read apply for another 10 years- if you are caught here illegally- it could include JAIL TIME.",1,0,11/1/2022
"@ValuableGamer","why would you expose yourself on social media",0,0,11/1/2022
"@BinodRokayaMagar","Much needed info",0,0,11/1/2022
"@headbangeraamos4788","Wow what a content brother...❤️‍🔥❤️‍🔥❤️‍🔥",0,0,11/1/2022
"@NONE.UNKNOWN","My Friends also have gone to USA like this",1,0,11/1/2022
"@kuroko_ff1415","Thank god there are some channels who raise the issues that no body talks about <br>Jay Nepal",0,0,11/1/2022
"@gamingostrich1220","Bro make a video related dhikuri/dhikuti...how it started... it&#39;s illegal and yet its run by many nepali people...",1,0,11/1/2022
"@pnthrheller","Ramro content brother!, Yesari USA naajanuhos. It’s not worth it. Do research.",0,0,11/1/2022
"@santoshsharmaadhikari3623","The person who are willing to pay upto the north of 50 lakh despite knowing danger ahead and if gets return or death don&#39;t gets my sympathy...  For That much amount you can start a business with careful planning and can settle for life in their own country",0,0,11/1/2022
